date,name,iso,lat,long,confirmed,deaths,recovered,active,fatality_rate,last_update
2020-02-01,China,CHN,31.6927,88.0924,1,0,0,1,0.0,2020-02-01 01:52:00
2020-02-01,Nepal,NPL,28.3949,84.1240,1,0,0,1,0.0,2020-01-31 08:15:00
2020-02-01,Philippines,PHL,12.8797,121.7740,1,0,0,1,0.0,2020-02-01 17:43:00
2020-02-01,Spain,ESP,40.4637,-3.7492,1,0,0,1,0.0,2020-02-01 02:13:00
2020-02-01,Sri Lanka,LKA,7.8731,80.7718,1,0,0,1,0.0,2020-01-31 08:15:00
2020-02-01,Sweden,SWE,60.1282,18.6435,1,0,0,1,0.0,2020-02-01 02:13:00
2020-02-01,US,USA,42.3601,-71.0589,1,0,0,1,0.0,2020-02-01 19:43:00
2020-02-01,US,USA,34.0522,-118.2437,1,0,0,1,0.0,2020-02-01 19:53:00
2020-02-01,US,USA,33.7879,-117.8531,1,0,0,1,0.0,2020-02-01 19:53:00
2020-02-01,US,USA,37.3541,-121.9552,1,0,0,1,0.0,2020-02-01 19:53:00
2020-02-01,US,USA,47.6062,-122.3321,1,0,0,1,0.0,2020-02-01 19:43:00
2020-02-01,US,USA,33.4255,-111.9400,1,0,0,1,0.0,2020-02-01 19:43:00
2020-03-01,China,CHN,30.9756,112.2707,66907,2761,31536,32610,0.0413,2020-03-01 10:13:19
2020-03-01,"Korea, South",KOR,35.9078,127.7669,3736,17,30,3689,0.0046,2020-03-01 23:43:03
2020-03-01,Italy,ITA,41.8719,12.5674,1694,34,83,1577,0.0201,2020-03-01 23:23:02
2020-03-01,China,CHN,23.3417,113.4244,1349,7,1016,326,0.0052,2020-03-01 14:13:18
2020-03-01,China,CHN,33.8820,113.6140,1272,22,1198,52,0.0173,2020-03-01 14:13:18
2020-03-01,China,CHN,29.1832,120.0934,1205,1,1046,158,0.0008,2020-03-01 10:13:33
2020-03-01,China,CHN,27.6104,111.7088,1018,4,866,148,0.0039,2020-03-01 10:03:03
2020-03-01,China,CHN,31.8257,117.2264,990,6,873,111,0.0061,2020-03-01 10:03:03
2020-03-01,Iran,IRN,32.4279,53.6880,978,54,175,749,0.0552,2020-03-01 15:33:03
2020-03-01,China,CHN,27.6140,115.7221,935,1,831,103,0.0011,2020-03-01 01:13:10
2020-03-01,China,CHN,36.3427,118.1498,758,6,443,309,0.0079,2020-03-01 11:33:03
2020-03-01,Others,Others,35.4437,139.6380,705,6,10,689,0.0085,2020-02-29 01:43:02
2020-03-01,China,CHN,32.9711,119.4550,631,0,536,95,0.0,2020-03-01 10:03:03
2020-03-01,China,CHN,30.0572,107.8740,576,6,450,120,0.0104,2020-03-01 23:13:08
2020-03-01,China,CHN,30.6171,102.7103,538,3,365,170,0.0056,2020-03-01 11:43:02
2020-03-01,China,CHN,47.8620,127.7615,480,13,342,125,0.0271,2020-03-01 11:33:03
2020-03-01,China,CHN,40.1824,116.4142,413,8,276,129,0.0194,2020-03-01 02:53:03
2020-03-01,China,CHN,31.2020,121.4491,337,3,290,44,0.0089,2020-03-01 07:13:07
2020-03-01,China,CHN,38.0428,114.5149,318,6,294,18,0.0189,2020-03-01 14:13:18
2020-03-01,China,CHN,26.0789,117.9874,296,1,247,48,0.0034,2020-03-01 09:43:03
2020-03-01,Japan,JPN,36.2048,138.2529,256,6,32,218,0.0234,2020-03-01 23:33:03
2020-03-01,China,CHN,23.8298,108.7881,252,2,181,69,0.0079,2020-03-01 09:43:03
2020-03-01,China,CHN,35.1917,108.8701,245,1,208,36,0.0041,2020-03-01 09:43:03
2020-03-01,China,CHN,24.9740,101.4870,174,2,163,9,0.0115,2020-03-01 07:13:07
2020-03-01,China,CHN,19.1959,109.7453,168,5,149,14,0.0298,2020-03-01 10:13:38
2020-03-01,China,CHN,26.8154,106.8748,146,2,112,32,0.0137,2020-02-27 00:43:02
2020-03-01,China,CHN,39.3054,117.3230,136,3,111,22,0.0221,2020-03-01 12:43:02
2020-03-01,China,CHN,37.5777,112.2922,133,0,116,17,0.0,2020-03-01 23:13:08
2020-03-01,France,FRA,47.0000,2.0000,130,2,12,116,0.0154,2020-03-01 20:43:02
2020-03-01,Germany,DEU,51.1657,10.4515,130,0,16,114,0.0,2020-03-01 23:23:02
2020-03-01,China,CHN,41.2956,122.6085,122,1,103,18,0.0082,2020-03-01 12:23:06
2020-03-01,Singapore,SGP,1.3521,103.8198,106,0,72,34,0.0,2020-03-01 23:23:02
2020-03-01,China,CHN,22.3000,114.2000,96,2,36,58,0.0208,2020-03-01 14:33:16
2020-03-01,China,CHN,43.6661,126.1923,93,1,78,14,0.0108,2020-03-01 09:43:03
2020-03-01,China,CHN,36.0611,103.8343,91,2,84,5,0.022,2020-03-01 14:33:17
2020-03-01,Spain,ESP,40.4637,-3.7492,84,0,2,82,0.0,2020-03-01 23:33:03
2020-03-01,China,CHN,41.1129,85.2401,76,3,64,9,0.0395,2020-03-01 10:03:03
2020-03-01,China,CHN,44.0935,113.9448,75,0,52,23,0.0,2020-03-01 10:03:03
2020-03-01,China,CHN,37.2692,106.1655,73,0,69,4,0.0,2020-02-29 05:53:02
2020-03-01,Bahrain,BHR,26.0667,50.5577,47,0,0,47,0.0,2020-03-01 23:33:03
2020-03-01,Kuwait,KWT,29.3117,47.4818,45,0,0,45,0.0,2020-02-28 16:23:03
2020-03-01,US,USA,35.4437,139.6380,44,0,0,44,0.0,2020-02-28 20:03:03
2020-03-01,Thailand,THA,15.8700,100.9925,42,1,28,13,0.0238,2020-03-01 07:13:07
2020-03-01,Taipei and environs,TWN,23.7000,121.0000,40,1,9,30,0.025,2020-03-01 07:43:01
2020-03-01,United Kingdom,GBR,55.0000,-3.0000,36,0,8,28,0.0,2020-03-01 23:23:02
2020-03-01,Malaysia,MYS,4.2105,101.9758,29,0,18,11,0.0,2020-03-01 12:53:02
2020-03-01,Switzerland,CHE,46.8182,8.2275,27,0,0,27,0.0,2020-03-01 23:23:02
2020-03-01,United Arab Emirates,ARE,23.4241,53.8478,21,0,5,16,0.0,2020-02-29 12:33:03
